latency,retransmission,bandwidth,label
0.000495,0,2405208,wireless
0.000155,31,2449952,wireless
0.000565,5,2264618,wireless
0.001738,75,2120538,wireless
0.000620,1,2448298,wireless
0.001036,21,2274858,wireless
0.003415,3,2205668,wireless
0.003983,117,2299091,wireless
0.001022,44,2464424,wireless
0.001787,160,2350454,wireless
0.003312,228,1825406,wireless
0.001402,103,2488392,wireless
0.001970,121,2497600,wireless
0.003498,151,2185235,wireless
0.001323,154,2246792,wireless
0.001728,134,1824199,wireless
0.001311,3,2703858,wireless
0.003649,275,2390912,wireless
0.003096,165,2374642,wireless
0.003526,221,1896039,wireless
0.001519,87,2198919,wireless
0.000486,0,2573334,wireless
0.002456,137,1968370,wireless
0.004104,97,1975298,wireless
0.001591,68,2278108,wireless
0.001518,93,2326810,wireless
0.000441,0,2534646,wireless
0.002379,47,2591606,wireless
0.000445,2,2345749,wireless
0.002050,144,2253002,wireless
0.001872,108,1432560,wireless
0.006864,94,2076716,wireless
0.004846,129,2064144,wireless
0.005617,123,2005448,wireless
0.004053,80,2228004,wireless
0.000138,1,2694836,wireless
0.000184,0,2721532,wireless
0.001471,103,2501822,wireless
0.001608,30,2684062,wireless
0.001943,160,1864078,wireless
0.001057,53,1978234,wireless
0.003962,25,2488404,wireless
0.010403,66,2104012,wireless
0.000364,35,2415038,wireless
0.004101,149,1953116,wireless
0.003800,130,2053650,wireless
0.000550,72,2411555,wireless
0.000364,1,2535774,wireless
0.001271,0,2272184,wireless
0.001963,146,2581883,wireless
0.001656,121,2380746,wireless
0.000746,0,2610142,wireless
0.003502,146,2164396,wireless
0.005780,226,2032020,wireless
0.001937,200,1946736,wireless
0.001264,235,1848211,wireless
0.001119,3,2449390,wireless
0.004139,101,1423310,wireless
0.003149,235,2218104,wireless
0.000986,76,1424494,wireless
0.002689,150,1786576,wireless
0.001789,110,2364478,wireless
0.008732,151,1730704,wireless
0.004032,249,1718148,wireless
0.003582,117,1795514,wireless
0.000899,1,2255446,wireless
0.005005,68,2074608,wireless
0.003281,6,2408059,wireless
0.002262,81,1592382,wireless
0.002979,189,2311129,wireless
0.000548,85,2205626,wireless
0.001849,83,1518976,wireless
0.000864,92,2028096,wireless
0.002222,96,2060062,wireless
0.000987,126,2174868,wireless
0.000553,0,2012264,wireless
0.001652,135,2551102,wireless
0.001975,140,1927532,wireless
0.001388,158,2737154,wireless
0.000584,1,2861412,wireless
0.001474,54,2793046,wireless
0.001188,0,2451582,wireless
0.007774,52,1813266,wireless
0.012013,218,2193324,wireless
0.000679,3,2872148,wireless
0.011818,187,2047498,wireless
0.007670,349,2077564,wireless
0.003390,113,2085472,wireless
0.002584,253,1994573,wireless
0.001786,25,2217228,wireless
0.002828,218,2314886,wireless
0.000385,1,2639284,wireless
0.002432,101,2634140,wireless
0.002198,36,1611282,wireless
0.005522,112,2042620,wireless
0.000718,70,2201826,wireless
0.006273,246,1838678,wireless
0.012577,252,1392210,wireless
0.005661,164,1651068,wireless
0.000733,98,1948618,wireless
0.002097,107,2370696,wireless
0.001991,200,2295298,wireless
0.000919,91,1910195,wireless
0.002059,48,2152076,wireless
0.000921,170,2052896,wireless
0.003263,51,2316012,wireless
0.001701,39,2480018,wireless
0.001287,2,1486522,wireless
0.002708,65,2408266,wireless
0.004173,124,2201372,wireless
0.004526,172,1995132,wireless
0.005138,235,1951666,wireless
0.001907,162,2456540,wireless
0.004411,250,2030808,wireless
0.000929,46,2041530,wireless
0.008149,230,2577884,wireless
0.003797,136,2008036,wireless
0.001959,310,1267006,wireless
0.002831,194,2380816,wireless
0.002582,31,2767352,wireless
0.003000,244,1972718,wireless
0.005756,212,2257570,wireless
0.008757,434,2189744,wireless
0.002697,91,2325120,wireless
0.007782,154,2019606,wireless
0.005847,313,2005586,wireless
0.003190,135,2590262,wireless
0.002378,121,2627004,wireless
0.004997,92,2312068,wireless
0.000699,42,2609318,wireless
0.007616,171,2331546,wireless
0.004322,193,1973580,wireless
0.008998,180,1838104,wireless
0.013793,262,1592726,wireless
0.001408,81,2647374,wireless
0.006870,105,2333064,wireless
0.004950,174,1675363,wireless
0.005582,272,2155206,wireless
0.000686,5,2249820,wireless
0.000136,0,2920104,wireless
0.002977,54,2655261,wireless
0.002679,169,2937570,wireless
0.003848,153,2066884,wireless
0.001239,232,2525684,wireless
0.001846,326,2036704,wireless
0.006905,90,2703136,wireless
0.005627,171,2627506,wireless
0.001769,151,2362037,wireless
0.004210,199,2150266,wireless
0.002229,146,2308669,wireless
0.000331,0,2720375,wireless
0.002318,123,2344456,wireless
0.009881,450,1822490,wireless
0.002331,228,1712016,wireless
0.003032,59,2641914,wireless
0.005814,149,2470348,wireless
0.008947,269,1783868,wireless
0.011539,583,1457313,wireless
0.000489,1,2514454,wireless
0.000840,82,2682396,wireless
0.000498,91,2508984,wireless
0.001728,160,2393866,wireless
0.000659,0,2593962,wireless
0.001315,10,3052634,wireless
0.003035,152,1907304,wireless
0.004093,129,2328027,wireless
0.003152,269,2026838,wireless
0.003069,137,2609030,wireless
0.002922,124,2479036,wireless
0.015564,119,1769100,wireless
0.000446,6,2565252,wireless
0.004426,346,2550170,wireless
0.004001,271,2124136,wireless
0.002423,125,1977102,wireless
0.001863,257,2188994,wireless
0.002083,5,2224006,wireless
0.006403,207,2074200,wireless
0.001960,151,2285924,wireless
0.004837,212,2349746,wireless
0.003531,208,2429709,wireless
0.004568,286,2100921,wireless
0.002207,51,2631142,wireless
0.003293,78,2358480,wireless
0.014461,279,2255290,wireless
0.001155,9,1815266,wireless
0.015686,632,1462910,wireless
0.004775,268,2405864,wireless
0.002242,93,2887276,wireless
0.018288,71,2252792,wireless
0.001345,313,2552832,wireless
0.000808,78,2954158,wireless
0.005550,186,2789542,wireless
0.014908,383,1937558,wireless
0.013999,256,2330874,wireless
0.015298,235,1963454,wireless
0.000469,26,1677566,wireless
0.001291,34,2662958,wireless
0.000437,25,2088048,wireless
0.002654,275,2300656,wireless
0.000869,16,2404888,wireless
0.010795,326,1832628,wireless
0.000294,1,2223512,wireless
0.013735,355,1821398,wireless
0.001785,201,1362988,wireless
0.001277,17,2304612,wireless
0.003057,206,1705742,wireless
0.001897,186,2284752,wireless
0.006054,258,2229156,wireless
0.000214,48,2808144,wireless
0.008856,206,2206850,wireless
0.001090,127,2401760,wireless
0.008285,133,832408,wireless
0.000580,0,1320024,wireless
0.000159,101,2371430,wireless
0.002974,77,2579433,wireless
0.001928,224,2170258,wireless
0.000035,1,2440974,wireless
